Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
PLUG.MX,472.0,2022/02/01,11:21 CST,23.0,463.0,472.0,446.0,389,,,,,,,
PLU307L-DC016.MX,100.0,2022/01/28,14:10 CST,0.0,0.0,100.0,100.0,0,,,,,,,
PLTR.MX,293.0,2022/02/01,11:17 CST,9.51001,290.0,299.5,290.0,304,,,,,,,
PLD.MX,3215.0,2022/01/26,12:22 CST,0.0,0.0,3215.0,3215.0,0,,,,,,,
PKI.MX,3479.98,2022/01/26,10:10 CST,0.0,0.0,3479.98,3479.98,0,,,,,,,
PINS.MX,610.9,2022/02/01,11:37 CST,9.900024,601.0,612.0,601.0,10036,,,,,,,
PINFRAL.MX,95.0,2022/02/01,11:05 CST,-2.0100021,94.61,96.0,94.61,10444,,,,,,,
PINFRA.MX,153.04,2022/02/01,11:47 CST,2.5599976,150.39,154.49,149.85,223397,,,,,,,
PHM.MX,1081.49,2022/02/01,08:47 CST,21.04004,1081.26,1081.49,1081.26,700,,,,,,,
PH.MX,6719.0,2022/01/27,09:29 CST,0.0,0.0,6719.0,6719.0,0,,,,,,,
PGR.MX,2224.5,2022/01/31,13:32 CST,0.0,0.0,2224.5,2224.5,0,,,,,,,
PENN.MX,921.0,2022/02/01,09:20 CST,-87.0,921.0,921.0,921.0,10,,,,,,,
PEN.MX,4543.78,2022/02/01,09:26 CST,400.31982,4543.78,4543.78,4543.78,500,,,,,,,
PE&OLES.MX,221.5,2022/02/01,11:48 CST,0.5099945,221.32,222.6,219.0,83227,,,,,,,
PDDN.MX,1200.0,2022/01/31,09:49 CST,0.0,0.0,1200.0,1200.0,0,,,,,,,
